#catalogue_i	 catalogue_j     ell_i   ell_j	s_i		s_j		 Cov^-1_ij    
pre-recon pre-recon 0 4 37.500000 112.500000 5.745444e+03
pre-recon pre-recon 0 4 37.500000 117.500000 1.654685e+03
pre-recon pre-recon 0 4 37.500000 122.500000 7.401554e+03
pre-recon pre-recon 0 4 37.500000 127.500000 1.074468e+03
pre-recon pre-recon 0 4 37.500000 132.500000 1.624266e+04
pre-recon pre-recon 0 4 37.500000 137.500000 3.471247e+02
pre-recon pre-recon 0 4 37.500000 142.500000 -5.231450e+03
pre-recon pre-recon 0 4 37.500000 147.500000 -1.722397e+04
pre-recon pre-recon 0 4 37.500000 152.500000 -2.328153e+02
pre-recon pre-recon 0 4 37.500000 157.500000 -1.389659e+04
pre-recon pre-recon 0 0 42.500000 22.500000 -2.846244e+03
pre-recon pre-recon 0 0 42.500000 27.500000 -5.451974e+03
pre-recon pre-recon 0 0 42.500000 32.500000 -1.579493e+04
pre-recon pre-recon 0 0 42.500000 37.500000 -2.766383e+04
pre-recon pre-recon 0 0 42.500000 42.500000 2.089140e+05
pre-recon pre-recon 0 0 42.500000 47.500000 -2.263299e+04
pre-recon pre-recon 0 0 42.500000 52.500000 -1.499168e+04
pre-recon pre-recon 0 0 42.500000 57.500000 -1.687574e+04
pre-recon pre-recon 0 0 42.500000 62.500000 -1.064989e+04
pre-recon pre-recon 0 0 42.500000 67.500000 -2.367544e+04
pre-recon pre-recon 0 0 42.500000 72.500000 2.470927e+03
pre-recon pre-recon 0 0 42.500000 77.500000 -1.125441e+03
pre-recon pre-recon 0 0 42.500000 82.500000 -1.432440e+04
pre-recon pre-recon 0 0 42.500000 87.500000 -7.062430e+03
pre-recon pre-recon 0 0 42.500000 92.500000 1.521983e+04
pre-recon pre-recon 0 0 42.500000 97.500000 1.007464e+04
pre-recon pre-recon 0 0 42.500000 102.500000 -2.557393e+04
pre-recon pre-recon 0 0 42.500000 107.500000 -7.307332e+03
pre-recon pre-recon 0 0 42.500000 112.500000 3.148226e+03
pre-recon pre-recon 0 0 42.500000 117.500000 1.436350e+03
pre-recon pre-recon 0 0 42.500000 122.500000 -4.425976e+03
pre-recon pre-recon 0 0 42.500000 127.500000 -1.484769e+04
pre-recon pre-recon 0 0 42.500000 132.500000 -2.543066e+04
pre-recon pre-recon 0 0 42.500000 137.500000 2.426297e+04
pre-recon pre-recon 0 0 42.500000 142.500000 1.950680e+04
pre-recon pre-recon 0 0 42.500000 147.500000 3.672754e+04
pre-recon pre-recon 0 0 42.500000 152.500000 4.381762e+03
pre-recon pre-recon 0 0 42.500000 157.500000 -3.659781e+03
pre-recon pre-recon 0 2 42.500000 22.500000 -3.703868e+03
pre-recon pre-recon 0 2 42.500000 27.500000 3.454652e+03
pre-recon pre-recon 0 2 42.500000 32.500000 -1.490086e+03
pre-recon pre-recon 0 2 42.500000 37.500000 -5.477690e+03
pre-recon pre-recon 0 2 42.500000 42.500000 1.194178e+02
pre-recon pre-recon 0 2 42.500000 47.500000 2.193382e+03
pre-recon pre-recon 0 2 42.500000 52.500000 -1.296447e+03
pre-recon pre-recon 0 2 42.500000 57.500000 5.883664e+03
pre-recon pre-recon 0 2 42.500000 62.500000 1.776669e+02
pre-recon pre-recon 0 2 42.500000 67.500000 9.123330e+03
pre-recon pre-recon 0 2 42.500000 72.500000 6.634356e+02
pre-recon pre-recon 0 2 42.500000 77.500000 -1.979538e+03
pre-recon pre-recon 0 2 42.500000 82.500000 2.387460e+03
pre-recon pre-recon 0 2 42.500000 87.500000 -9.419197e+02
pre-recon pre-recon 0 2 42.500000 92.500000 3.381428e+03
pre-recon pre-recon 0 2 42.500000 97.500000 1.336638e+04
pre-recon pre-recon 0 2 42.500000 102.500000 -1.115384e+04
pre-recon pre-recon 0 2 42.500000 107.500000 2.359724e+03
pre-recon pre-recon 0 2 42.500000 112.500000 -7.217261e+03
pre-recon pre-recon 0 2 42.500000 117.500000 -8.864454e+03
pre-recon pre-recon 0 2 42.500000 122.500000 -9.408394e+02
pre-recon pre-recon 0 2 42.500000 127.500000 1.485683e+03
pre-recon pre-recon 0 2 42.500000 132.500000 9.182664e+03
pre-recon pre-recon 0 2 42.500000 137.500000 -1.151122e+04
pre-recon pre-recon 0 2 42.500000 142.500000 -1.481679e+04
pre-recon pre-recon 0 2 42.500000 147.500000 -1.562869e+04
pre-recon pre-recon 0 2 42.500000 152.500000 1.480484e+04
pre-recon pre-recon 0 2 42.500000 157.500000 -5.789465e+02
pre-recon pre-recon 0 4 42.500000 22.500000 -1.327312e+03
pre-recon pre-recon 0 4 42.500000 27.500000 -8.596709e+01
pre-recon pre-recon 0 4 42.500000 32.500000 -1.383108e+03
pre-recon pre-recon 0 4 42.500000 37.500000 4.900519e+02
pre-recon pre-recon 0 4 42.500000 42.500000 2.057920e+03
pre-recon pre-recon 0 4 42.500000 47.500000 3.398144e+03
pre-recon pre-recon 0 4 42.500000 52.500000 8.727777e+02
pre-recon pre-recon 0 4 42.500000 57.500000 -2.858912e+03
pre-recon pre-recon 0 4 42.500000 62.500000 -2.710695e+03
pre-recon pre-recon 0 4 42.500000 67.500000 4.096934e+03
pre-recon pre-recon 0 4 42.500000 72.500000 3.410020e+03
pre-recon pre-recon 0 4 42.500000 77.500000 -7.338620e+03
pre-recon pre-recon 0 4 42.500000 82.500000 -1.818277e+03
pre-recon pre-recon 0 4 42.500000 87.500000 -6.546693e+03
pre-recon pre-recon 0 4 42.500000 92.500000 2.010836e+03
pre-recon pre-recon 0 4 42.500000 97.500000 -9.811554e+03
pre-recon pre-recon 0 4 42.500000 102.500000 -3.435413e+03
pre-recon pre-recon 0 4 42.500000 107.500000 -2.722813e+02
