#catalogue_i	 catalogue_j     ell_i   ell_j	s_i		s_j		 Covij    
pre-recon pre-recon 0 0 42.500000 62.500000 3.020833e-07
pre-recon pre-recon 0 0 42.500000 67.500000 3.122240e-07
pre-recon pre-recon 0 0 42.500000 72.500000 3.331255e-08
pre-recon pre-recon 0 0 42.500000 77.500000 1.518030e-07
pre-recon pre-recon 0 0 42.500000 82.500000 1.350068e-07
pre-recon pre-recon 0 0 42.500000 87.500000 9.286191e-08
pre-recon pre-recon 0 0 42.500000 92.500000 -5.220385e-09
pre-recon pre-recon 0 0 42.500000 97.500000 5.313064e-09
pre-recon pre-recon 0 0 42.500000 102.500000 1.401169e-07
pre-recon pre-recon 0 0 42.500000 107.500000 4.326786e-08
pre-recon pre-recon 0 0 42.500000 112.500000 5.768810e-08
pre-recon pre-recon 0 0 42.500000 117.500000 5.826002e-08
pre-recon pre-recon 0 0 42.500000 122.500000 4.956192e-08
pre-recon pre-recon 0 0 42.500000 127.500000 5.492043e-08
pre-recon pre-recon 0 0 42.500000 132.500000 2.669982e-08
pre-recon pre-recon 0 0 42.500000 137.500000 -4.383387e-08
pre-recon pre-recon 0 0 42.500000 142.500000 -7.022164e-08
pre-recon pre-recon 0 0 42.500000 147.500000 -6.323360e-08
pre-recon pre-recon 0 0 42.500000 152.500000 -3.227868e-08
pre-recon pre-recon 0 0 42.500000 157.500000 1.178893e-08
pre-recon pre-recon 0 2 42.500000 22.500000 1.364202e-06
pre-recon pre-recon 0 2 42.500000 27.500000 -9.800581e-07
pre-recon pre-recon 0 2 42.500000 32.500000 2.291849e-07
pre-recon pre-recon 0 2 42.500000 37.500000 6.912069e-07
pre-recon pre-recon 0 2 42.500000 42.500000 1.095927e-08
pre-recon pre-recon 0 2 42.500000 47.500000 -4.706187e-07
pre-recon pre-recon 0 2 42.500000 52.500000 -3.640065e-08
pre-recon pre-recon 0 2 42.500000 57.500000 -3.777572e-07
pre-recon pre-recon 0 2 42.500000 62.500000 -1.519147e-07
pre-recon pre-recon 0 2 42.500000 67.500000 -4.684004e-07
pre-recon pre-recon 0 2 42.500000 72.500000 -9.987562e-08
pre-recon pre-recon 0 2 42.500000 77.500000 -6.359159e-09
pre-recon pre-recon 0 2 42.500000 82.500000 -1.947495e-07
pre-recon pre-recon 0 2 42.500000 87.500000 -1.097427e-07
pre-recon pre-recon 0 2 42.500000 92.500000 -1.360363e-07
pre-recon pre-recon 0 2 42.500000 97.500000 -2.696975e-07
pre-recon pre-recon 0 2 42.500000 102.500000 1.445887e-07
pre-recon pre-recon 0 2 42.500000 107.500000 -1.848339e-09
pre-recon pre-recon 0 2 42.500000 112.500000 6.392330e-08
pre-recon pre-recon 0 2 42.500000 117.500000 8.372844e-08
pre-recon pre-recon 0 2 42.500000 122.500000 1.772367e-08
pre-recon pre-recon 0 2 42.500000 127.500000 -6.499525e-08
pre-recon pre-recon 0 2 42.500000 132.500000 -8.274848e-08
pre-recon pre-recon 0 2 42.500000 137.500000 6.501627e-08
pre-recon pre-recon 0 2 42.500000 142.500000 1.129161e-07
pre-recon pre-recon 0 2 42.500000 147.500000 3.732204e-08
pre-recon pre-recon 0 2 42.500000 152.500000 -1.302113e-07
pre-recon pre-recon 0 2 42.500000 157.500000 -1.544851e-08
pre-recon pre-recon 0 4 42.500000 22.500000 7.244580e-07
pre-recon pre-recon 0 4 42.500000 27.500000 4.298869e-07
pre-recon pre-recon 0 4 42.500000 32.500000 -6.143242e-09
pre-recon pre-recon 0 4 42.500000 37.500000 -2.151218e-07
pre-recon pre-recon 0 4 42.500000 42.500000 -4.979950e-07
pre-recon pre-recon 0 4 42.500000 47.500000 -7.099605e-07
pre-recon pre-recon 0 4 42.500000 52.500000 -1.319894e-07
pre-recon pre-recon 0 4 42.500000 57.500000 3.908304e-07
pre-recon pre-recon 0 4 42.500000 62.500000 1.423032e-07
pre-recon pre-recon 0 4 42.500000 67.500000 -3.722805e-07
pre-recon pre-recon 0 4 42.500000 72.500000 -2.872016e-08
pre-recon pre-recon 0 4 42.500000 77.500000 3.189210e-07
pre-recon pre-recon 0 4 42.500000 82.500000 3.726337e-08
pre-recon pre-recon 0 4 42.500000 87.500000 8.308859e-08
pre-recon pre-recon 0 4 42.500000 92.500000 7.251595e-09
pre-recon pre-recon 0 4 42.500000 97.500000 4.572942e-07
pre-recon pre-recon 0 4 42.500000 102.500000 8.840232e-08
pre-recon pre-recon 0 4 42.500000 107.500000 9.960081e-08
pre-recon pre-recon 0 4 42.500000 112.500000 -3.300530e-07
pre-recon pre-recon 0 4 42.500000 117.500000 1.732352e-07
